RADICADO,FECHA ACCIDENTE,HORA ACCIDENTE,CLASE ACCIDENTE,GRAVEDAD,CLASIFICACIÓN,DIRECCION,BARRIO,AREA ACCIDENTE,ESTADO DELTIEMPO,No. VICTIMA PEATON,No. VICTIMA ACOMPANANTE,No. VICTIMA PASAJERO,No. VICTIMA CONDUCTOR,No. VICTIMA HERIDO,No. VICTIMA MUERTO
21207,02/26/2023 12:00:00 AM,7:15:00,Choque,herido,Ciclista-Motociclista,km 10 aproximadamente,Esmeralda,Rural,Normal,0,1,0,1,2,0
21391,09/21/2023 12:00:00 AM,13:15:00,Choque,herido,Ciclista-Motociclista,tablemac km7 + 7 700,Esmeralda,Rural,Normal,0,0,0,1,1,0
21172,02/05/2023 12:00:00 AM,18:50:00,Choque,herido,Ciclista-Motociclista,ruta 6205A KM8+400 HATILLO-BARBOSA,Papelsa,Rural,Normal,0,1,0,1,2,0
21173,02/05/2023 12:00:00 AM,8:55:00,Choque,herido,Ciclista-Motociclista,KM 7+200 HATILLO-BARBOSA,Papelsa,Rural,Normal,0,0,0,1,1,0
21174,02/04/2023 12:00:00 AM,11:00:00,Atropello,herido,Ciclista-Motociclista,km 7+700 lavaderos,Papelsa,Rural,Normal,1,0,0,0,1,0
21363,08/12/2023 12:00:00 AM,19:16:00,Atropello,herido,Ciclista-Motociclista,vereda el paraiso via medellin km 20+800 los llanos,Esmeralda,Rural,Normal,1,0,0,1,2,0
21364,08/16/2023 12:00:00 AM,9:30:00,Choque,herido,Ciclista-Motociclista,KM 1 +600 DE LA 6205 VEREDA LA CUESTA,Esmeralda,Rural,Normal,0,0,0,1,1,0
21365,08/15/2023 12:00:00 AM,5:50:00,Choque,herido,Ciclista-Motociclista,el machete via medellin llanos de cuiva km 20+800,Esmeralda,Rural,Lluvia,0,0,0,1,1,0
21366,08/15/2023 12:00:00 AM,17:35:00,Choque,herido,Ciclista-Motociclista,vereda isaza km5+100,Esmeralda,Rural,Normal,0,1,0,1,2,0
21333,07/16/2023 12:00:00 AM,17:50:00,Choque,herido,Ciclista-Motociclista,km 20+950 los llanos medellin,Esmeralda,Rural,Normal,0,1,0,1,2,0
21334,07/17/2023 12:00:00 AM,3:30:00,Volcamiento,herido,Ciclista-Motociclista,pradera km 17 + 800 via barbosa cisneros,Esmeralda,Rural,Lluvia,0,0,2,1,3,0
21335,07/17/2023 12:00:00 AM,7:20:00,Choque,herido,Ciclista-Motociclista,via los llanos de cuiba km 27+700 las eses,Esmeralda,Rural,Normal,0,0,1,0,1,0
21336,07/19/2023 12:00:00 AM,11:05:00,Choque,herido,Ciclista-Motociclista,VEREDA FILO VERDE VIA MEDELLIN LOS LLANOS KM 19+900,Esmeralda,Rural,Normal,0,0,0,2,2,0
21337,07/22/2023 12:00:00 AM,8:45:00,Atropello,herido,Ciclista-Motociclista,parque de las aguas via medellin llanos de cuiba,Esmeralda,Rural,Normal,1,0,0,0,1,0
21338,07/20/2023 12:00:00 AM,7:50:00,Choque,herido,Ciclista-Motociclista,KM 22 + 700 MEDELLIN LOS LLANOS HACIENDA EL PROGRESO,Esmeralda,Rural,Normal,0,0,0,1,1,0
21339,07/19/2023 12:00:00 AM,7:30:00,Choque,herido,Ciclista-Motociclista,machete medellin - llanos km21+900 barbosa,Esmeralda,Rural,Normal,0,0,0,1,1,0
21340,07/18/2023 12:00:00 AM,7:00:00,Atropello,herido,Ciclista-Motociclista,LOMITA 2 KILOMETRO 22 + 100,Esmeralda,Rural,Normal,1,0,0,0,1,0
21392,09/11/2023 12:00:00 AM,6:50:00,Choque,herido,Ciclista-Motociclista,el machete kmt 20 + 600,Esmeralda,Rural,Lluvia,0,0,0,1,1,0
21393,09/17/2023 12:00:00 AM,19:10:00,Atropello,herido,Ciclista-Motociclista,EL ECO SECTOR EL AGUACATE,Esmeralda,Rural,Normal,1,0,0,0,1,0
21182,01/28/2023 12:00:00 AM,17:40:00,Choque,herido,Ciclista-Motociclista,km 36+500 ruta 2510,Papelsa,Rural,Normal,0,0,0,1,1,0
21394,09/24/2023 12:00:00 AM,18:10:00,Choque,herido,Ciclista-Motociclista,TABLEMAC KM 7 + 900,Esmeralda,Rural,Normal,0,1,0,1,2,0
21395,09/21/2023 12:00:00 AM,14:30:00,Choque,herido,Ciclista-Motociclista,EL SALADITO 6205 KM 6,Esmeralda,Rural,Normal,0,1,0,0,1,0
21400,09/30/2023 12:00:00 AM,18:50:00,Choque,herido,Ciclista-Motociclista,buga hatillo pradera km 87700  barbosa,Esmeralda,Rural,Normal,0,1,0,1,2,0
21175,01/30/2023 12:00:00 AM,0:45:00,Choque,daño,Ciclista-Motociclista,carrera 15 # 15-51,Papelsa,Urbana,Normal,,,,,,
21176,02/06/2023 12:00:00 AM,12:15:00,Atropello,herido,Ciclista-Motociclista,km 8+200 cra 21,Papelsa,Urbana,Normal,1,0,0,0,1,0
21177,01/30/2023 12:00:00 AM,0:15:00,Choque,herido,Ciclista-Motociclista,carrera 18 calle 16,Papelsa,Urbana,Normal,0,0,0,1,1,0
21178,01/19/2023 12:00:00 AM,5:40:00,Choque,herido,Ciclista-Motociclista,CARRERA 21 CALLE 4-225,Papelsa,Urbana,Normal,0,1,0,1,2,0
21167,01/14/2023 12:00:00 AM,21:40:00,Choque,herido,Ciclista-Motociclista,"km 20+900 medellin- los llanos, puerto mulero",Papelsa,Rural,Normal,0,0,0,1,1,0
21367,08/06/2023 12:00:00 AM,18:05:00,Volcamiento,herido,Ciclista-Motociclista,VIA CONCEPCION BARBOSA,Esmeralda,Rural,Normal,0,1,0,1,2,0
21171,02/04/2023 12:00:00 AM,13:30:00,Choque,herido,Ciclista-Motociclista,km 14+560 via concepcion,Papelsa,Rural,Normal,0,0,0,1,1,0
21187,02/11/2023 12:00:00 AM,14:50:00,Choque,herido,Ciclista-Motociclista,km 29+700 ruta 2510 hatillo- don matias,Esmeralda,Rural,Normal,0,1,0,1,2,0
21188,02/11/2023 12:00:00 AM,16:00:00,Volcamiento,herido,Conductor,aprox km 30,Papelsa,Rural,Normal,0,0,0,1,1,0
21404,10/09/2023 12:00:00 AM,19:15:00,Choque,herido,Ciclista-Motociclista,KM 21+900 VIA MEDELLIN - LOS LLANOS,Papelsa,Rural,Normal,0,0,0,1,1,0
21180,02/06/2023 12:00:00 AM,17:00:00,Choque,herido,Ciclista-Motociclista,sector las sss vila hatillo matasanos km 25+600,Papelsa,Rural,Normal,0,0,0,1,1,0
21184,02/13/2023 12:00:00 AM,9:00:00,Choque,herido,Ciclista-Motociclista,kilometro 23+600 la frutera,Papelsa,Rural,Normal,0,0,0,1,1,0
21186,02/06/2023 12:00:00 AM,12:30:00,Volcamiento,herido,Ciclista-Motociclista,calle 10-35 carrera 17,Papelsa,Urbana,Normal,0,0,0,1,1,0
21398,09/28/2023 12:00:00 AM,19:15:00,Volcamiento,herido,Ciclista-Motociclista,hospital cr 17 10-34 hospital,Esmeralda,Urbana,Lluvia,0,1,0,1,2,0
21399,09/29/2023 12:00:00 AM,17:00:00,Choque,herido,Ciclista-Motociclista,CR 17 CENTRO CLL20 Y 21,Esmeralda,Urbana,Normal,0,0,0,2,2,0
21403,10/01/2023 12:00:00 AM,16:40:00,Choque,herido,Ciclista-Motociclista,VEREDA BUGA ENTRADA,Papelsa,Rural,Normal,0,1,0,1,2,0
21371,08/27/2023 12:00:00 AM,3:20:00,Choque,herido,Ciclista-Motociclista,a la altura del cortado kilometro 000+6,Esmeralda,Rural,Normal,0,1,0,1,2,0
21412,10/29/2023 12:00:00 AM,16:30:00,Atropello,herido,Ciclista-Motociclista,"CARRERA 15, CALLE 13",Papelsa,Urbana,Normal,1,0,0,0,1,0
21413,10/20/2023 12:00:00 AM,18:05:00,Choque,herido,Ciclista-Motociclista,medellin- los llanos km 20+900,Papelsa,Rural,Normal,0,0,0,1,1,0
21183,02/04/2023 12:00:00 AM,17:00:00,Atropello,herido,Conductor,km 4 aproximadamente,Papelsa,Rural,Normal,0,1,0,0,1,0
21405,10/15/2023 12:00:00 AM,13:19:00,Choque,herido,Ciclista-Motociclista,via medellin llanos de cuiba km 23 paolandia,Esmeralda,Rural,Normal,0,1,0,1,2,0
21427,10/22/2023 12:00:00 AM,18:40:00,Atropello,herido,Ciclista-Motociclista,kilometro 21+300,Papelsa,Rural,Normal,0,0,0,1,1,0
21428,11/25/2023 12:00:00 AM,2:40:00,Volcamiento,herido,Ciclista-Motociclista,kilometro 07+900,Papelsa,Rural,Normal,0,0,0,1,1,0
21401,09/21/2023 12:00:00 AM,7:45:00,Choque,herido,Ciclista-Motociclista,PUENTE LA TASAJERA KM 19+770,Esmeralda,Rural,Normal,0,0,0,1,2,0
21402,09/23/2023 12:00:00 AM,21:55:00,Atropello,herido,Ciclista-Motociclista,SAN JUDAS KM 22 + 500 MEDELLIN LLANOS,Esmeralda,Rural,Normal,1,0,0,1,2,0
21269,04/04/2023 12:00:00 AM,13:40:00,Choque,herido,Ciclista-Motociclista,carrea 21 Nro. 4-297,Papelsa,Urbana,Normal,0,0,0,2,2,0
21270,05/07/2023 12:00:00 AM,22:30:00,Volcamiento,herido,Ciclista-Motociclista,KM 7+500 APROX VEREDA PLATANITO,Papelsa,Rural,Normal,0,0,0,0,1,0
21273,05/13/2023 12:00:00 AM,14:39:00,Choque,herido,Ciclista-Motociclista,hatillo-barbosa km 15+200 barbosa,Papelsa,Rural,Normal,0,0,0,1,1,0
21274,05/11/2023 12:00:00 AM,18:30:00,Volcamiento,herido,Ciclista-Motociclista,KM 6+750,Papelsa,Rural,Normal,0,0,0,1,1,0
21275,05/15/2023 12:00:00 AM,16:40:00,Volcamiento,herido,Ciclista-Motociclista,KM 7+600,Papelsa,Rural,Normal,0,0,0,1,1,0
21408,10/12/2023 12:00:00 AM,10:00:00,Choque,herido,Ciclista-Motociclista,ruta 2510 km 22+500,Papelsa,Rural,Normal,0,0,0,1,1,0
21409,10/16/2023 12:00:00 AM,18:50:00,Choque,herido,Ciclista-Motociclista,mk29+300 via medellin - los llanos,Papelsa,Rural,Normal,0,0,2,1,3,0
21410,10/21/2023 12:00:00 AM,21:19:00,Atropello,herido,Ciclista-Motociclista,carrera 18 con calle 13,Papelsa,Urbana,Normal,1,0,0,0,1,0
21419,10/19/2023 12:00:00 AM,20:20:00,Atropello,herido,Ciclista-Motociclista,H.S.V.P BARBOSA,Papelsa,Rural,Normal,1,1,0,0,2,0
21420,10/30/2023 12:00:00 AM,13:00:00,Choque,herido,Ciclista-Motociclista,KM 29+970 VIA MEDELLIN- LOS LLANOS,Papelsa,Rural,Normal,0,0,0,1,1,0
21421,10/31/2023 12:00:00 AM,20:40:00,Atropello,herido,Ciclista-Motociclista,km 6 via hatillo,Papelsa,Rural,Normal,1,0,0,1,2,0
21422,11/01/2023 12:00:00 AM,12:00:00,Choque,herido,Ciclista-Motociclista,KM 0+500 VIA COLKIM,Papelsa,Rural,Normal,0,0,0,1,1,0
21423,11/06/2023 12:00:00 AM,3:55:00,Volcamiento,herido,Ciclista-Motociclista,CR 17 CON CALLE 08,Papelsa,Urbana,Normal,0,1,0,1,2,0
21424,11/14/2023 12:00:00 AM,16:30:00,Choque,herido,Ciclista-Motociclista,KM 7 + 700   V. CABILDO,Papelsa,Rural,Normal,0,1,0,2,3,0
21425,11/05/2023 12:00:00 AM,6:30:00,Choque,muerte,Ciclista-Motociclista,KM 20 + 200 MEDELLIN  LOS LLANOS,Papelsa,Rural,Normal,0,1,0,1,1,1
21438,12/05/2023 12:00:00 AM,11:40:00,Choque,herido,Ciclista-Motociclista,via barbosa- santo domingo,Papelsa,Rural,Normal,0,0,0,1,1,0
21215,03/09/2023 12:00:00 AM,17:00:00,Atropello,herido,Ciclista-Motociclista,cra 21 # cl 13 Semaforo,Esmeralda,Urbana,Viento,0,0,1,0,1,0
21216,02/25/2023 12:00:00 AM,17:30:00,Volcamiento,herido,Ciclista-Motociclista,6205 kilometro 14 + 200 mts,Esmeralda,Rural,Normal,0,0,0,1,1,0
21217,03/13/2023 12:00:00 AM,6:15:00,Atropello,muerte,Ciclista-Motociclista,6205a km 08+500,Esmeralda,Rural,Lluvia,0,1,0,0,0,1
21298,06/09/2023 12:00:00 AM,12:45:00,Choque,herido,Ciclista-Motociclista,macondo km 4+600,Papelsa,Rural,Normal,0,0,0,1,1,0
21299,06/08/2023 12:00:00 AM,9:10:00,Choque,herido,Ciclista-Motociclista,llanos de cuiba medellin km 2100 barbosa,Esmeralda,Rural,Normal,0,0,0,1,1,0
21300,06/10/2023 12:00:00 AM,7:00:00,Choque,herido,Ciclista-Motociclista,km 5 aproximada vereda el cortado,Esmeralda,Rural,Normal,0,0,0,1,1,0
21301,06/19/2023 12:00:00 AM,12:00:00,Atropello,herido,Ciclista-Motociclista,CR 14 CON CLL 13,Esmeralda,Urbana,Normal,1,0,0,0,1,0
21302,06/16/2023 12:00:00 AM,10:50:00,Choque,herido,Ciclista-Motociclista,via barbosa cisneros k6 + 900 vereda graciano,Esmeralda,Rural,Normal,0,0,1,0,1,0
21303,06/17/2023 12:00:00 AM,8:20:00,Choque,herido,Ciclista-Motociclista,kilometri 07+760 pradera hatillo,Esmeralda,Rural,Normal,0,0,0,1,1,0
21304,06/18/2023 12:00:00 AM,10:10:00,Choque,muerte,Ciclista-Motociclista,kmt 16 + 500 popalito,Esmeralda,Rural,Normal,0,0,1,1,1,1
21305,06/18/2023 12:00:00 AM,10:20:00,Choque,herido,Ciclista-Motociclista,HATILLO DON MATIAS KM 35+500,Esmeralda,Rural,Normal,0,0,0,2,2,0
21306,06/19/2023 12:00:00 AM,15:10:00,Volcamiento,herido,Ciclista-Motociclista,,Esmeralda,Rural,Normal,0,0,1,0,1,0
21307,06/24/2023 12:00:00 AM,17:00:00,Choque,herido,Ciclista-Motociclista,62-05 KM 7+600,Esmeralda,Rural,Normal,0,0,0,1,1,0
21308,06/25/2023 12:00:00 AM,1:00:00,Caida Ocupante,herido,Ciclista-Motociclista,papelsa kilometro 10 ruta 6205,Esmeralda,Rural,Lluvia,0,0,2,0,2,0
21415,11/05/2023 12:00:00 AM,18:50:00,Choque,herido,Ciclista-Motociclista,km 3+900 el cortado,Papelsa,Rural,Normal,2,1,3,0,6,0
21209,02/26/2023 12:00:00 AM,15:45:00,Choque,herido,Ciclista-Motociclista,6205a km 12+850 popalito,Papelsa,Rural,Normal,0,1,0,1,2,0
21196,02/16/2023 12:00:00 AM,18:40:00,Volcamiento,herido,Ciclista-Motociclista,6205 km 001,Papelsa,Rural,Normal,0,0,0,1,1,0
21309,07/03/2023 12:00:00 AM,17:50:00,Atropello,herido,Ciclista-Motociclista,calle 13 con cr 14,Esmeralda,Urbana,Lluvia,1,0,0,0,1,0
21310,06/28/2023 12:00:00 AM,12:00:00,Atropello,herido,Ciclista-Motociclista,km 9 papelsa vereda vallecitos,Esmeralda,Rural,Normal,1,0,0,0,1,0
21311,06/11/2023 12:00:00 AM,9:30:00,Choque,herido,Ciclista-Motociclista,hatillo pradera km 7+800 barbosa,Esmeralda,Rural,Normal,0,0,0,1,1,0
21312,06/29/2023 12:00:00 AM,10:00:00,Volcamiento,herido,Ciclista-Motociclista,6205km 5+500 isaza,Esmeralda,Rural,Normal,0,0,0,1,1,0
21313,07/01/2023 12:00:00 AM,19:35:00,Choque,herido,Ciclista-Motociclista,cr 31 con cll 15,Esmeralda,Urbana,Normal,0,0,0,1,1,0
21314,06/01/2023 12:00:00 AM,19:40:00,Otro,herido,Ciclista-Motociclista,deprimido parque de las aguas,Esmeralda,Rural,Normal,0,0,1,0,1,0
21315,07/01/2023 12:00:00 AM,20:30:00,Volcamiento,herido,Ciclista-Motociclista,km 6 aproximadamente,Esmeralda,Rural,Normal,0,0,0,1,1,0
21316,06/22/2023 12:00:00 AM,7:45:00,Choque,herido,Ciclista-Motociclista,via medellin llanos de cuiba las cometas,Esmeralda,Rural,Lluvia,0,0,0,1,1,0
21417,10/28/2023 12:00:00 AM,19:45:00,Choque,herido,Ciclista-Motociclista,km 6+200 entrada vereda saladito,Papelsa,Rural,Normal,0,0,0,1,1,0
21228,04/02/2023 12:00:00 AM,11:00:00,Choque,herido,Ciclista-Motociclista,hatillo-barbosa km 8+700 barbosa,Barrios de Jesús parte alta,Rural,Normal,0,0,0,1,1,0
21229,04/15/2023 12:00:00 AM,20:55:00,Choque,herido,Ciclista-Motociclista,KM 5+500 APROXIMADAMENTE,Papelsa,Rural,Normal,0,1,0,1,2,0
21230,04/18/2023 12:00:00 AM,22:30:00,Atropello,herido,Ciclista-Motociclista,calle 17 cr 13 frente a 78,Papelsa,Urbana,Normal,1,0,0,1,2,0
21231,03/27/2023 12:00:00 AM,20:40:00,Choque,herido,Ciclista-Motociclista,km33+200 hatillo don matias,Papelsa,Rural,Lluvia,0,1,0,0,1,0
21232,04/02/2023 12:00:00 AM,17:30:00,Choque,muerte,Ciclista-Motociclista,bello-llanos de cuiva lin 281790 barbosa,Papelsa,Rural,Lluvia,0,0,0,1,0,1
21233,04/09/2023 12:00:00 AM,16:50:00,Atropello,herido,Ciclista-Motociclista,carrera 13 # 10-95,Papelsa,Urbana,Normal,1,0,0,0,1,0
21234,03/30/2023 12:00:00 AM,18:50:00,Volcamiento,herido,Ciclista-Motociclista,6205 km  8+900,Papelsa,Urbana,Normal,0,0,0,1,1,0
21235,04/11/2023 12:00:00 AM,16:30:00,Choque,herido,Ciclista-Motociclista,km8+500,Papelsa,Rural,Normal,0,0,0,1,1,0
21236,04/13/2023 12:00:00 AM,14:40:00,Choque,herido,Ciclista-Motociclista,KM34+600 HATILLO-MATASANOS,Papelsa,Rural,Normal,0,1,0,1,2,0
21290,06/02/2023 12:00:00 AM,6:50:00,Atropello,herido,Ciclista-Motociclista,via sto domingo km 4+500 aprox,Papelsa,Rural,Normal,1,0,0,0,1,0
21291,06/02/2023 12:00:00 AM,15:00:00,Volcamiento,herido,Ciclista-Motociclista,popalito 6205 km 16,Vereda Popalito,Rural,Normal,0,1,0,0,1,0
21454,12/28/2023 12:00:00 AM,15:30:00,Atropello,muerte,Ciclista-Motociclista,la ese,Papelsa,Rural,Normal,2,0,0,0,1,1
21455,12/31/2023 12:00:00 AM,12:20:00,Choque,herido,Ciclista-Motociclista,los lavaderos km 32+780 via medellin- los llanos,Papelsa,Rural,Normal,0,1,0,1,2,0
21456,12/31/2023 12:00:00 AM,14:00:00,Choque,herido,Ciclista-Motociclista,ruta 25 an 19 km 6+700,Papelsa,Rural,Normal,0,1,0,1,2,0
21406,10/13/2023 12:00:00 AM,20:30:00,Choque,herido,Ciclista-Motociclista,via medellin los llanos 32+900,Esmeralda,Rural,Normal,0,0,0,1,1,0
21407,10/10/2023 12:00:00 AM,8:25:00,Choque,herido,Ciclista-Motociclista,EL HATILLO KMT 00+300,Esmeralda,Rural,Normal,0,0,0,2,2,0
21166,01/26/2023 12:00:00 AM,1:20:00,Choque,muerte,Ciclista-Motociclista,"2510 kilometro 21+900, lomita 1",Papelsa,Rural,Normal,0,0,0,1,0,1
21292,06/06/2023 12:00:00 AM,12:30:00,Choque,herido,Ciclista-Motociclista,hatillo barbosa km 21+330,Papelsa,Rural,Normal,0,0,0,1,1,0
21293,06/05/2023 12:00:00 AM,9:00:00,Volcamiento,herido,Conductor,6205 km 4 el eco,Papelsa,Rural,Normal,0,1,0,0,1,0
21294,06/20/2023 12:00:00 AM,11:00:00,Choque,muerte,Ciclista-Motociclista,via hatillo-pradera km 4+500,Papelsa,Rural,Normal,0,0,0,1,0,1
21295,06/07/2023 12:00:00 AM,13:10:00,Atropello,herido,Ciclista-Motociclista,via hatillo-pradera km 6+300,Papelsa,Rural,Normal,1,0,0,0,1,0
21296,06/13/2023 12:00:00 AM,14:50:00,Choque,herido,Ciclista-Motociclista,KM18+000,Papelsa,Rural,Normal,0,1,0,1,2,0
21440,12/16/2023 12:00:00 AM,21:20:00,Volcamiento,herido,Ciclista-Motociclista,VEREDA EL OLLO,Papelsa,Rural,Lluvia,0,0,4,0,4,0
21441,12/24/2023 12:00:00 AM,13:20:00,Atropello,herido,Ciclista-Motociclista,km12+100 senrido norte sur vereda el paraiso,Papelsa,Rural,Normal,1,0,0,0,1,0
21442,12/31/2023 12:00:00 AM,12:00:00,Choque,herido,Ciclista-Motociclista,cx-6205b km+000 inc,Papelsa,Rural,Normal,0,1,0,1,2,0
21443,12/23/2023 12:00:00 AM,9:20:00,Atropello,herido,Ciclista-Motociclista,via barbosa cisneros kilometro 6+200- popalito,Papelsa,Rural,Normal,1,0,0,1,2,0
21445,12/31/2023 12:00:00 AM,14:00:00,Choque,herido,Ciclista-Motociclista,VEREDA SAN EUGENIO,Papelsa,Rural,Niebla,0,1,0,1,2,0
21446,12/28/2023 12:00:00 AM,17:30:00,Atropello,herido,Ciclista-Motociclista,calle 11 # 19-29,Papelsa,Urbana,Normal,0,0,1,0,1,0
21447,12/16/2023 12:00:00 AM,14:15:00,Choque,herido,Ciclista-Motociclista,medellin-lllanos de cuiva km 29+950,Papelsa,Rural,Lluvia,0,0,1,0,1,0
21220,03/18/2023 12:00:00 AM,18:40:00,Choque,herido,Ciclista-Motociclista,ruta 6502 km 14,Esmeralda,Rural,Normal,0,0,1,0,1,0
21221,03/19/2023 12:00:00 AM,2:50:00,Volcamiento,herido,Ciclista-Motociclista,ruta 2501 hm 9 +100 via platanito,Esmeralda,Rural,Viento,0,0,0,1,1,0
21222,03/14/2023 12:00:00 AM,4:00:00,Volcamiento,herido,Ciclista-Motociclista,vereda vallecitos,Esmeralda,Rural,Viento,0,0,0,1,1,0
21223,03/18/2023 12:00:00 AM,23:30:00,Volcamiento,herido,Ciclista-Motociclista,cr 14 cl 16,Esmeralda,Urbana,Viento,0,0,0,1,1,0
21224,03/15/2023 12:00:00 AM,20:00:00,Caida Ocupante,herido,Ciclista-Motociclista,calle 16 con carrera 13,Papelsa,Urbana,Normal,0,0,0,1,1,0
21225,03/20/2023 12:00:00 AM,18:00:00,Volcamiento,herido,Ciclista-Motociclista,el hatillo,Parque Principal,Rural,Normal,0,0,1,1,2,0
21226,03/23/2023 12:00:00 AM,17:00:00,Volcamiento,herido,Ciclista-Motociclista,6205 km 3 + 800,Esmeralda,Rural,Normal,0,0,1,1,2,0
21227,03/23/2023 12:00:00 AM,8:00:00,Volcamiento,herido,Ciclista-Motociclista,calle 13 con carerra 19,Esmeralda,Urbana,Normal,0,0,1,0,1,0
21297,06/20/2023 12:00:00 AM,10:10:00,Choque,herido,Ciclista-Motociclista,km 2 sector recta de leon,Papelsa,Rural,Normal,0,0,0,1,1,0
21433,12/10/2023 12:00:00 AM,15:10:00,Choque,herido,Ciclista-Motociclista,km 22+380 llanos cuiva-medellin,Papelsa,Rural,Normal,0,0,1,2,3,0
21434,12/03/2023 12:00:00 AM,10:05:00,Choque,herido,Ciclista-Motociclista,km 35+800 medellin llanos de cuiva- alto de matasanos,Esmeralda,Rural,Normal,0,0,0,1,1,0
21258,05/02/2023 12:00:00 AM,18:21:00,Volcamiento,herido,Ciclista-Motociclista,km 0+200 mts via c kimberly,Papelsa,Rural,Normal,0,1,0,1,2,0
21259,05/07/2023 12:00:00 AM,16:45:00,Atropello,herido,Ciclista-Motociclista,ruta 6205 papelsa k 9+900,Vereda Papelsa,Rural,Normal,1,0,0,0,1,0
21260,05/07/2023 12:00:00 AM,18:40:00,Choque,herido,Ciclista-Motociclista,CAS carrera 21 cll 11,Papelsa,Urbana,Normal,0,1,0,0,1,0
21261,05/03/2023 12:00:00 AM,16:40:00,Volcamiento,herido,Ciclista-Motociclista,6205 km 8 aprox,Papelsa,Rural,Normal,0,1,0,1,2,0
21262,05/02/2023 12:00:00 AM,0:20:00,Choque,herido,Ciclista-Motociclista,el machete km 20 hatillo-bello,Papelsa,Rural,Normal,0,1,0,1,2,0
21263,05/08/2023 12:00:00 AM,20:50:00,Choque,herido,Ciclista-Motociclista,sector cestillal via hatillo- matasanos k 33+400,Papelsa,Rural,Normal,0,1,0,1,2,0
21264,05/08/2023 12:00:00 AM,11:50:00,Otro,herido,Ciclista-Motociclista,tablemac km 07+500,Papelsa,Rural,Normal,0,1,0,0,1,0
21265,05/06/2023 12:00:00 AM,16:30:00,Choque,herido,Ciclista-Motociclista,VIA HATILLO -PRADERA KM 41+800,Papelsa,Rural,Normal,0,0,0,1,1,0
21266,04/05/2023 12:00:00 AM,10:45:00,Caida Ocupante,herido,Ciclista-Motociclista,KM 2 VEREDA LA CHORRERA,Papelsa,Rural,Normal,0,1,0,0,1,0
21287,06/04/2023 12:00:00 AM,1:00:00,Volcamiento,herido,Ciclista-Motociclista,vereda tamborcito km 10 recta leon,Papelsa,Rural,Normal,0,0,0,1,1,0
21139,01/09/2023 12:00:00 AM,18:00:00,Choque,herido,Ciclista-Motociclista,via hatillo- pradera km 6+500,Papelsa,Rural,Normal,0,0,0,1,1,0
21255,05/01/2023 12:00:00 AM,21:40:00,Atropello,herido,Ciclista-Motociclista,el paraiso km 20+900,Papelsa,Rural,Normal,1,0,0,1,2,0
21288,06/03/2023 12:00:00 AM,6:50:00,Volcamiento,herido,Conductor,TR 6205 KM 10,Papelsa,Rural,Normal,0,0,0,1,1,0
21289,05/28/2023 12:00:00 AM,4:20:00,Volcamiento,herido,Ciclista-Motociclista,tr6205 km 5+200,Papelsa,Rural,Viento,0,0,0,1,1,0
21418,10/23/2023 12:00:00 AM,12:00:00,Atropello,herido,Ciclista-Motociclista,km 32+600 via medellin- los llanos,Papelsa,Rural,Normal,2,0,0,0,2,0
21153,01/04/2023 12:00:00 AM,16:20:00,Volcamiento,herido,Ciclista-Motociclista,vereda las beatrices,Papelsa,Rural,Normal,0,1,0,0,1,0
21154,01/21/2023 12:00:00 AM,7:10:00,Choque,herido,Ciclista-Motociclista,san judas km 22+100 medellin-los llanos,Papelsa,Rural,Normal,0,0,0,1,1,0
21155,01/04/2023 12:00:00 AM,22:15:00,Volcamiento,herido,Ciclista-Motociclista,vereda platanito  km 6+750,Papelsa,Rural,Normal,0,0,0,1,1,0
21156,01/21/2023 12:00:00 AM,10:35:00,Choque,herido,Ciclista-Motociclista,las sss 2510 km 26+650,Papelsa,Rural,Normal,0,2,0,2,4,0
21253,04/03/2023 12:00:00 AM,22:30:00,Choque,herido,Ciclista-Motociclista,ruta 6205 km 6 + 200,Esmeralda,Rural,Normal,0,0,1,2,3,0
21254,04/06/2023 12:00:00 AM,8:10:00,Choque,herido,Ciclista-Motociclista,6205a kilometro 15 + 550,Esmeralda,Rural,Normal,0,0,0,1,1,0
21431,12/03/2023 12:00:00 AM,20:00:00,Choque,herido,Ciclista-Motociclista,6205 km 5+200,Papelsa,Rural,Normal,0,0,0,1,1,0
21432,11/27/2023 12:00:00 AM,13:45:00,Choque,herido,Ciclista-Motociclista,km 3+600,Papelsa,Rural,Normal,0,0,0,1,1,0
21448,12/29/2023 12:00:00 AM,14:30:00,Caida Ocupante,herido,Ciclista-Motociclista,via san jose km 15+00,Papelsa,Rural,Normal,0,1,0,0,1,0
21449,12/23/2023 12:00:00 AM,9:25:00,Choque,herido,Ciclista-Motociclista,km 22+900 sentido norte- sur,Papelsa,Rural,Normal,0,0,0,1,1,0
21450,12/25/2023 12:00:00 AM,18:25:00,Atropello,herido,Ciclista-Motociclista,sentido norte sur km 20+900 medellin- los llanos,Papelsa,Rural,Normal,1,0,0,0,1,0
21190,02/05/2023 12:00:00 AM,17:40:00,Choque,herido,Ciclista-Motociclista,kilometro 3+600,Papelsa,Rural,Normal,0,1,0,1,2,0
21191,02/14/2023 12:00:00 AM,9:50:00,Caida Ocupante,herido,Ciclista-Motociclista,vereda la tolda,Papelsa,Rural,Normal,0,0,2,0,2,0
