RADICADO,FECHA ACCIDENTE,HORA ACCIDENTE,CLASE ACCIDENTE,GRAVEDAD,CLASIFICACIÓN,DIRECCION,BARRIO,AREA ACCIDENTE,ESTADO DELTIEMPO,No. VICTIMA PEATON,No. VICTIMA ACOMPANANTE,No. VICTIMA PASAJERO,No. VICTIMA CONDUCTOR,No. VICTIMA HERIDO,No. VICTIMA MUERTO
20935,08/15/2022 12:00:00 AM,18:30:00,Choque,herido,Ciclista-Motociclista,6205 Km +15 +900,Esmeralda,Rural,Lluvia,0,0,1,2,3,0
20936,08/20/2022 12:00:00 AM,16:00:00,Volcamiento,herido,Ciclista-Motociclista,6205A  KM8+400 LOS BUCAROS,Esmeralda,Rural,Normal,0,0,0,1,1,0
20942,08/27/2022 12:00:00 AM,14:10:00,Choque,herido,Ciclista-Motociclista,V CORRIENTES KM3+900,Papelsa,Rural,Normal,0,0,0,1,1,0
20943,12/10/0022 12:00:00 AM,13:00:00,Choque,daño,Ciclista-Motociclista,VEREDA CORRIENTES,Papelsa,Rural,Normal,0,0,0,0,0,0
21077,12/13/0022 12:00:00 AM,7:30:00,Choque,herido,Ciclista-Motociclista,sector las eses  hatillo-llanos de cuiva km 25 + 200,Esmeralda,Rural,Normal,0,0,0,1,1,0
20919,03/10/0022 12:00:00 AM,17:20:00,Volcamiento,herido,Ciclista-Motociclista,cr 17 # 10-34,Papelsa,Rural,Normal,0,0,1,0,1,0
20920,08/10/0022 12:00:00 AM,17:00:00,Volcamiento,herido,Ciclista-Motociclista,25an19  km 6,Esmeralda,Rural,Normal,0,0,0,1,1,0
20922,07/31/2022 12:00:00 AM,14:50:00,Atropello,herido,Ciclista-Motociclista,6205 a  km + 14 + 300 hatillo,Esmeralda,Rural,Normal,1,0,0,0,1,0
20924,07/10/0022 12:00:00 AM,14:00:00,Caida Ocupante,herido,Ciclista-Motociclista,6205 km 1 puente hatillo,Esmeralda,Rural,Normal,0,0,1,0,1,0
20926,06/10/0022 12:00:00 AM,19:00:00,Choque,herido,Ciclista-Motociclista,vereda el paraiso,Papelsa,Rural,Normal,0,0,1,0,1,0
20927,04/10/0022 12:00:00 AM,9:00:00,Choque,herido,Ciclista-Motociclista,vereda la chorrera,Papelsa,Rural,Normal,0,0,0,1,1,0
20928,08/10/0022 12:00:00 AM,13:20:00,Choque,herido,Ciclista-Motociclista,6205 km 1 +400,Papelsa,Rural,Normal,0,0,0,2,2,0
20952,08/30/2022 12:00:00 AM,5:40:00,Volcamiento,herido,Ciclista-Motociclista,km8+500,Papelsa,Rural,Normal,0,0,0,1,1,0
20953,08/27/2022 12:00:00 AM,13:00:00,Volcamiento,herido,Ciclista-Motociclista,VEREDA LA CHORRERA,Papelsa,Rural,Normal,0,0,0,0,1,0
20970,01/11/0022 12:00:00 AM,7:00:00,Volcamiento,herido,Ciclista-Motociclista,vereda las peñas,Esmeralda,Rural,Normal,0,0,0,1,1,0
20971,11/10/0022 12:00:00 AM,4:30:00,Choque,daño,Ciclista-Motociclista,KM 26+ 100 LAS ESES,Esmeralda,Rural,Lluvia,0,0,0,0,0,0
20972,09/14/2022 12:00:00 AM,10:15:00,Volcamiento,muerte,Ciclista-Motociclista,KM 10 + 900 VEREDA DOSQUEBRADAS VIA INGRESO KM 1 + 800,Esmeralda,Rural,Normal,0,0,2,1,2,1
20975,09/17/2022 12:00:00 AM,20:20:00,Choque,herido,Ciclista-Motociclista,cra 21 enrtre calle 3 y 4 aprox,Esmeralda,Urbana,Normal,0,0,2,1,3,0
20976,09/18/2022 12:00:00 AM,8:50:00,Choque,herido,Ciclista-Motociclista,km 7+400 ingreso vereda graciano,Esmeralda,Rural,Normal,0,0,0,1,1,0
20977,09/15/2022 12:00:00 AM,23:10:00,Choque,herido,Ciclista-Motociclista,km3+600 isaza,Esmeralda,Rural,Normal,0,0,0,1,1,0
20978,01/11/0022 12:00:00 AM,11:50:00,Volcamiento,herido,Ciclista-Motociclista,km7+200 sector el saladito,Esmeralda,Rural,Normal,0,0,0,1,1,0
20979,09/18/2022 12:00:00 AM,21:30:00,Choque,herido,Ciclista-Motociclista,km 7 +900 sector tablemak,Esmeralda,Rural,Lluvia,0,0,1,2,3,0
20980,09/17/2022 12:00:00 AM,18:10:00,Choque,daño,Ciclista-Motociclista,tramo potrerito km 0 + 200 aproximado,Esmeralda,Rural,Normal,0,0,0,0,0,0
20981,03/11/0022 12:00:00 AM,19:35:00,Choque,herido,Ciclista-Motociclista,KM 8 + 500 APROXIMADO  LOS BUCAROS,Esmeralda,Rural,Normal,0,0,2,1,3,0
21035,06/12/0022 12:00:00 AM,18:40:00,Volcamiento,herido,Ciclista-Motociclista,via hatillo girardota km 6 + 500 vereda platanito,Esmeralda,Rural,Normal,0,0,1,1,2,0
21036,09/12/0022 12:00:00 AM,16:00:00,Volcamiento,herido,Ciclista-Motociclista,VEREDA LA PALMA KM 19 APROXIMADAMENTE,Esmeralda,Rural,Normal,0,0,1,0,1,0
21037,09/29/2022 12:00:00 AM,16:40:00,Volcamiento,herido,Ciclista-Motociclista,vereda platanito,Esmeralda,Rural,Normal,0,0,0,1,1,0
21038,05/12/0022 12:00:00 AM,10:50:00,Choque,herido,Ciclista-Motociclista,cra 21 con calle 19  barrio pepe sierra I,Esmeralda,Urbana,Normal,0,0,0,1,1,0
21039,09/12/0022 12:00:00 AM,13:00:00,Atropello,herido,Ciclista-Motociclista,CRA 17 ENTRE CALLE 19 Y 20,Esmeralda,Urbana,Normal,1,0,0,1,2,0
